시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명
서울특별시 강남구 도곡동,467-24,467,24,우성캐릭터 199,전세,35.2,201712,28,15000,0,7,1998,언주로 118
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,91.1,201701,12,90000,0,5,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,121.5,201701,19,80000,80,10,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,75.29,201701,23,30000,150,10,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,91.1,201702,8,90000,0,5,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,91.1,201702,8,5000,320,12,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,75.29,201702,13,35000,125,15,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,76.07,201702,13,55000,80,4,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,64.55,201702,28,5000,210,5,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,88.39,201703,20,90000,0,10,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,64.55,201703,22,15000,180,10,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,121.5,201703,30,40000,250,17,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,143.11,201704,15,90000,110,12,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,88.39,201704,18,70000,0,6,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,91.1,201704,22,55000,120,16,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,143.11,201705,18,125000,0,13,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,64.55,201705,19,3000,210,6,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,110.01,201707,1,20000,270,19,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,91.1,201707,5,90000,0,14,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,143.11,201708,1,100000,60,14,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,75.29,201708,9,75000,0,16,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,64.55,201708,14,3000,210,13,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,64.55,201708,16,2000,220,11,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,91.1,201709,7,85000,0,18,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,64.55,201709,11,50000,50,20,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,88.39,201709,26,78000,0,11,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,143.11,201710,30,115000,0,16,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,143.11,201712,5,80000,200,18,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,88.39,201712,9,85000,0,8,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),전세,75.29,201712,19,80000,0,17,2002,언주로30길 56
서울특별시 강남구 도곡동,467,467,0,타워팰리스(467-0),월세,91.1,201712,29,50000,190,19,2002,언주로30길 56
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스(467-17),전세,99.47,201702,17,99500,0,9,2003,언주로30길 57
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스(467-17),전세,99.47,201703,11,94000,0,4,2003,언주로30길 57
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스(467-17),전세,47.11,201703,28,45000,0,6,2003,언주로30길 57
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스(467-17),월세,79.04,201703,30,30000,160,6,2003,언주로30길 57
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스(467-17),월세,79.86,201704,1,40000,120,10,2003,언주로30길 57
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스(467-17),월세,60.19,201704,15,30000,110,8,2003,언주로30길 57
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스(467-17),전세,79.04,201705,30,78000,0,4,2003,언주로30길 57
서울특별시 강남구 도곡동,467-17,467,17,타워팰리스(467-17),전세,60.19,201706,9,60000,0,4,2003,언주로30길 57
